code,name,abbreviation,domain,n_items,license,url,citation,repository,languages,n_dimensions,has_scoring,checked_content,checked_output,checked_scoring,notes
PX111001,Personal and Family History of Strabismus,PX111001,Health,20,PhenX Toolkit freely available protocol,https://www.phenxtoolkit.org/protocols/view/111001,"Engle EC. (2007). Oculomotility disorders arising from disruptions in brainstem motor neuron development. Arch Neurol , 64(5):633-7. Engle EC, Andrews C, Law K, Demer JL. (2007). Two pedigrees segregating Duanes retraction syndrome as a dominant trait map to the DURS2 genetic locus. Invest Ophthalmol Vis Sci , 48(1):189-93. [PhenX: https://www.phenxtoolkit.org/protocols/view/111001]",phenx,en,0,no,,,,"A series of self-administered questions to assess family and personal history of strabismus, including history of treatm"
PX111301,Contact Lens Use- Adult,PX111301,Health,5,PhenX Toolkit freely available protocol,https://www.phenxtoolkit.org/protocols/view/111301,"Herpetic Eye Disease Study Group. (2000). Psychological stress and other potential triggers for recurrences of herpes simplex virus eye infections. Herpetic Eye Disease Study Group. Arch Ophthalmol , 118(12):1617-25. [PhenX: https://www.phenxtoolkit.org/protocols/view/111301]",phenx,en,0,no,,,,These self-administered questions are used to assess an individuals current and past contact lens use. The respondent an
PX111302,Use of Glasses and/or Contact Lenses as a Child,PX111302,Health,13,PhenX Toolkit freely available protocol,https://www.phenxtoolkit.org/protocols/view/111302,"Ip JM, Saw SM, Rose KA, Morgan IG, Kifley A, Wang JJ, Mitchell P. (2008). Role of Near Work in Myopia: Findings in a Sample of Australian School Children. Invest Ophthalmol Vis Sci , 49(7):2903-10. Ojaimi E, Rose KA, Smith W, Morgan IG, Martin FJ, Mitchell P. (2005). Methods for a population-based study of myopia and other eye conditions in school children: the Sydney Myopia Study. Ophthalmic Epidemiol , 12(1):59-69. [PhenX: https://www.phenxtoolkit.org/protocols/view/111302]",phenx,en,0,no,,,,The respondent is asked a series of 5 questions to assess their childs current and past use of glasses and contact lense
PX120602,Eating Disorder Screener for DSM-5,PX120602,Mental Health,23,PhenX Toolkit freely available protocol,https://www.phenxtoolkit.org/protocols/view/120602,"Froreich, F. V., Vartanian, L. R., Grisham, J. R., & Touyz, S. W. (2016). Dimensions of control and their relation to disordered eating behaviours and obsessive-compulsive symptoms. Journal of Eating Disorders, 4 , 14. Perez, M., Van Diest, A. K., & Cutts, S. (2014). Preliminary examination of a mentor-based program for eating disorders. Journal of Eating Disorders, 2 (1), 24. Stice, E., Telch, C. F., & Rizvi, S. L. (2000). Development and validation of the Eating Disorder Diagnostic Scale: a brief self-report measure of anorexia, bulimia, and binge-eating disorder. Psychological Assessment , 12 (2), 123-131. [PhenX: https://www.phenxtoolkit.org/protocols/view/120602]",phenx,en,0,no,,,,This protocol is a revised version of the Eating Disorder Diagnostic Scale (EDDS) that is updated for diagnostic changes [Excluded from manifest]
PX121704,Depressive Symptoms - Geriatric,PX121704,Mental Health,15,PhenX Toolkit freely available protocol,https://www.phenxtoolkit.org/protocols/view/121704,"Sheikh, J. I., Yesavage, J. A. (1986). Geriatric Depression Scale (GDS): Recent evidence and development of a shorter version. Clinical Gerontology: A Guide to Assessment and Intervention 165-173, NY: The Haworth Press, 1986. Sheikh, J. I., Yesavage, J. A., Brooks, J. O., III, Friedman, L. F., Gratzinger, P., Hill, R. D., ... Crook, T. (1991). Proposed factor structure of the Geriatric Depression Scale. International Psychogeriatrics, 3, 23-28. Yesavage, J. A., Brink, T. L., Rose, T. L., Lum, O., Huang, V., Adey, M. B., & Leirer, V. O. (1983). Development and validation of a geriatric depression screening scale: A preliminary report. Journal of Psychiatric Research, 17, 37-49. [PhenX: https://www.phenxtoolkit.org/protocols/view/121704]",phenx,en,0,no,,,,An interviewer- or self-administered questionnaire of 15 yes/no questions to screen for depression in older adults.
PX131201,Gross Motor Function - 2-4 Years Old,PX131201,Health,1,PhenX Toolkit freely available protocol,https://www.phenxtoolkit.org/protocols/view/131201,"Palisano, R., Rosenbaum, P., Walter, S., Russell, D., Wood, E., & Galuppi, B. (1997). Development and reliability of a system to classify gross motor function in children with cerebral palsy. Developmental Medicine & Child Neurology, 39, 214-223. Morris, C., Galuppi, B. E., & Rosenbaum, P. L. (2004). Reliability of family report for the Gross Motor Function Classification System. Developmental Medicine and Child Neurology , 46, 455-460. [PhenX: https://www.phenxtoolkit.org/protocols/view/131201]",phenx,en,0,no,,,,The Gross Motor Function Classification System (GMFCS) Family Report Questionnaire is a five-item parent-report instrume
PX131202,Gross Motor Function - 4-6 Years Old,PX131202,Health,1,PhenX Toolkit freely available protocol,https://www.phenxtoolkit.org/protocols/view/131202,"Palisano, R., Rosenbaum, P., Walter, S., Russell, D., Wood, E., & Galuppi, B. (1997). Development and reliability of a system to classify gross motor function in children with cerebral palsy. Developmental Medicine & Child Neurology, 39, 214-223. Morris, C., Galuppi, B. E., & Rosenbaum, P. L. (2004). Reliability of family report for the Gross Motor Function Classification System. Developmental Medicine and Child Neurology , 46, 455-460. [PhenX: https://www.phenxtoolkit.org/protocols/view/131202]",phenx,en,0,no,,,,The Gross Motor Function Classification System (GMFCS) Family Report Questionnaire is a five-item parent-report instrume
PX131203,Gross Motor Function - 6-12 Years Old,PX131203,Health,1,PhenX Toolkit freely available protocol,https://www.phenxtoolkit.org/protocols/view/131203,"Palisano, R., Rosenbaum, P., Walter, S., Russell, D., Wood, E., & Galuppi, B. (1997). Development and reliability of a system to classify gross motor function in children with cerebral palsy. Developmental Medicine & Child Neurology, 39, 214-223. Morris, C., Galuppi, B. E., & Rosenbaum, P. L. (2004). Reliability of family report for the Gross Motor Function Classification System. Developmental Medicine and Child Neurology , 46, 455-460. [PhenX: https://www.phenxtoolkit.org/protocols/view/131203]",phenx,en,0,no,,,,The Gross Motor Function Classification System (GMFCS) Family Report Questionnaire is a five-item parent-report instrume
PX150402,Physical Activity Readiness,PX150402,Health,46,PhenX Toolkit freely available protocol,https://www.phenxtoolkit.org/protocols/view/150402,"Jamnik VJ, Warburton DER, Makarski J, McKenzie DC, Shephard RJ, Stone J, and Gledhill N. (2011). Enhancing the effectiveness of clearance for physical activity participation; background and overall process. Appl Physiol Nutr Metab , 36(S1):S3-S13. Warburton DER, Gledhill N, Jamnik VK, Bredin SSD, McKenzie DC, Stone J, Charlesworth S, and Shephard RJ. (2011). Evidence-based risk assessment and recommendations for physical activity clearance; Consensus Document. Appl Physiol Nutr Metab 36(S1):S266-s298 [PhenX: https://www.phenxtoolkit.org/protocols/view/150402]",phenx,en,0,no,,,,A brief set of self-administered physical and medical questions used to determine if the person needs to visit a doctor 
PX150601,Sitting-Sedentary Behavior - Adult,PX150601,Health,79,PhenX Toolkit freely available protocol,https://www.phenxtoolkit.org/protocols/view/150601,"Clark, B. K., Sugiyama, T., Healy, G. N., Salmon, J., Dunstan, D. W., & Owen, N. (2009). Validity and reliability of measures of television viewing time and other non-occupational sedentary behaviour of adults: A review. Obesity Reviews, 10 (1), 7-16. [PhenX: https://www.phenxtoolkit.org/protocols/view/150601]",phenx,en,0,no,,,,"This protocol is an estimate of how many hours and minutes the person spends sitting during normal situations (e.g., wat"
PX160801,"Conditions Relevant to Immune Response - Screener, Adult",PX160801,Health,10,PhenX Toolkit freely available protocol,https://www.phenxtoolkit.org/protocols/view/160801,None [PhenX: https://www.phenxtoolkit.org/protocols/view/160801],phenx,en,0,no,,,,This screening protocol includes 10 self-administered questions from the Centers for Disease Control and Prevention (CDC
PX160802,"Conditions Relevant to Immune Response - Screener, Child",PX160802,Health,9,PhenX Toolkit freely available protocol,https://www.phenxtoolkit.org/protocols/view/160802,None [PhenX: https://www.phenxtoolkit.org/protocols/view/160802],phenx,en,0,no,,,,This screening protocol includes nine proxy-administered questions from the Centers for Disease Control and Prevention (
PX161001,Immunizations,PX161001,Health,145,PhenX Toolkit freely available protocol,https://www.phenxtoolkit.org/protocols/view/161001,None [PhenX: https://www.phenxtoolkit.org/protocols/view/161001],phenx,en,0,no,,,,This protocol is a self- or proxy-administered questionnaire from the American Health Information Management Association
PX161101,Injection Drug Use,PX161101,Health,10,PhenX Toolkit freely available protocol,https://www.phenxtoolkit.org/protocols/view/161101,None [PhenX: https://www.phenxtoolkit.org/protocols/view/161101],phenx,en,0,no,,,,This protocol includes seven self-administered questions from the National Health and Nutrition Examination Survey (NHAN
PX161201,International Travel History,PX161201,Health,185,PhenX Toolkit freely available protocol,https://www.phenxtoolkit.org/protocols/view/161201,None [PhenX: https://www.phenxtoolkit.org/protocols/view/161201],phenx,en,0,no,,,,From the Global Surveillance Network of the International Society of Travel Medicine (ISTM) and the Centers for Disease 
PX161301,Medical History,PX161301,Health,81,PhenX Toolkit freely available protocol,https://www.phenxtoolkit.org/protocols/view/161301,None [PhenX: https://www.phenxtoolkit.org/protocols/view/161301],phenx,en,0,no,,,,This protocol is a self- or proxy-administered questionnaire from the American Health Information Management Association
PX161401,Personal and Family History of Autoimmune and Inflammatory Disorders,PX161401,Health,123,PhenX Toolkit freely available protocol,https://www.phenxtoolkit.org/protocols/view/161401,none [PhenX: https://www.phenxtoolkit.org/protocols/view/161401],phenx,en,0,no,,,,This protocol includes self-administered questions from the Lupus Family Registry and Repository (LFRR). Respondents ans
PX161601,"Personal Medical History of Allergies, Infectious Diseases, and Immunizations - Child",PX161601,Health,125,PhenX Toolkit freely available protocol,https://www.phenxtoolkit.org/protocols/view/161601,None [PhenX: https://www.phenxtoolkit.org/protocols/view/161601],phenx,en,0,no,,,,This protocol is a proxy-administered personal health record from the American Health Information Management Association
PX161602,"Personal History of Allergies, Infectious Diseases, and Immunizations - Adult",PX161602,Health,377,PhenX Toolkit freely available protocol,https://www.phenxtoolkit.org/protocols/view/161602,None [PhenX: https://www.phenxtoolkit.org/protocols/view/161602],phenx,en,0,no,,,,This protocol is a self- or proxy-administered personal health record from the American Health Information Management As
PX170501,Personal and Family History of Psoriasis,PX170501,Health,112,PhenX Toolkit freely available protocol,https://www.phenxtoolkit.org/protocols/view/170501,"Nair, R. P., Stuart, P. E., Nistor, I., Hiremagalore, R., Chia, N. V. C., Jenisch, S., Weichenthal, M., Abeasis, G. R., Lim, H. W., Christophers, E., Voorhees, J. J., & Elder, J. T. (2006). Sequence and haplotype analysis supports HLA-C as the Psoriasis Susceptibility 1 gene. American Journal of Human Genetics, 78, 827–851. PMCID: PMC1474031. Nair, R. P., Ruether, A., Stuart, P. E., Jenisch, S., Tejasvi, T., Hiremagalore, R., Schreiber, S., Kabelitz, D., Lim, H. W., Voorhees, J. J., Christophers, E., Elder, J. T., & Weichenthal, M. (2008). Polymorphisms of the IL12B and IL23R genes are associated with psoriasis. Journal of Investigative Dermatology, 128 , 1653–1661. PMCID: PMC2739284. Nair, R. P., Callis Duffin, K., Helms, C., Ding, J., Stuart, P. E., Goldgar, D., Gudjonsson, J., Li, Y., Tejasvi, T., Feng, B. J., Ruether, A., Schreiber, S., Weichenthal, M., Gladman, D., Rahman, P., Schrodi, S. J., Prahalad, S., Guthery, S. L., Fischer, J., Liao, W., Kwok, P., Menter, A., Lathrop, G. M., Wise, C., Begovich, A. B., Voorhees, J. J., Elder, J. T., Krueger, G. G., Bowcock, A. M., & Abecasis, G. R. (2009). Genome-wide scan of psoriasis reveals association with IL-23 and NF-kB pathways. Nature Genetics, 41 (2), 199–204. PMCID: PMC2745122. de Cid, R., Riveira-Munoz, E., Zeeuwen, P. L. J. M., Robarge, J., Liao, W., Dannhauser, E. N., Giardina, E., Stuart, P. E., Nair, R. P., Helms, C., Escarams, G., Ballana, E., Martn-Ezquerra, G., den Heijer, M., Kamsteeg, M., Joosten, I., Eichler, E. E., Lzaro, C., Pujol, R. M., Armengol, L., Abecasis, G., Elder, J. T., Novelli, G., Armour, J. A. L., Kwok, P., Bowcock, A., Schalkwijk, J., & Estivill, X. (2009). Deletion of the late cornified envelope (LCE) 3B and 3C genes as a susceptibility factor for psoriasis. Nature Genetics, 41 (2), 211-215. NIHMSID: NIHMS213228. Stuart, P. E., Nair, R. P., Hiremagalore, R., Kullavanijaya, P., Kullavanijaya, P., Tejasvi, T., Lim, H. W., Voorhees, J. J., & Elder, J. T. (2010). Comparison of MHC Class I risk haplotypes in Thai and Caucasian psoriatics reveals locus heterogeneity at PSORS1. Tissue Antigens , July 1 [E-pub ahead of print]. NIHMSID: NIHMS215411 Stuart, P. E., Nair, R. P., Ellinghaus, E., Ding, J., Tejasvi, T., Gudjonsson, J. E., Li, Y., Weidinger, S., Eberlein, B., Gieger, C., Wichmann, H. E., Kunz, M., Ike, R., Mroweitz, U., Lim, H. W., Voorhees, J. J., Abecasis, G. R., Weichenthal, M., Franke, A., Rahman, P., Gladman, D., & Elder, J. T. (in press). Genome-wide association analysis identifies three psoriasis susceptibility loci. Nature Genetics . [PhenX: https://www.phenxtoolkit.org/protocols/view/170501]",phenx,en,0,no,,,,The Self Evaluation plus Medication Survey is a self-administered instrument which was developed from the questionnaires [Excluded from manifest]
PX170601,Skin Cancer,PX170601,Health,14,PhenX Toolkit freely available protocol,https://www.phenxtoolkit.org/protocols/view/170601,None [PhenX: https://www.phenxtoolkit.org/protocols/view/170601],phenx,en,0,no,,,,The protocol developed by Quereux et al. (2010) includes a self administered questionnaire that captures the main skin c
PX170901,Fracture History,PX170901,Health,83,PhenX Toolkit freely available protocol,https://www.phenxtoolkit.org/protocols/view/170901,None [PhenX: https://www.phenxtoolkit.org/protocols/view/170901],phenx,en,0,no,,,,This protocol is divided into two parts. Part I consists of the Study of Osteoporotic Fractures (SOF) Fractures and Fall
PX171501,Knee Pain - Past 30 Days,PX171501,Health,3,PhenX Toolkit freely available protocol,https://www.phenxtoolkit.org/protocols/view/171501,"Carlesso, L. C., Law, L. F., Wang, N., Nevitt, M., Lewis, C. E., & Neogi, T.; Multicenter Osteoarthritis Study Group. (2022). Association of pain sensitization and conditioned pain modulation to pain patterns in knee osteoarthritis . Arthritis Care & Research, 74(1), 107–112. https://doi.org/10.1002/acr.24437 National Institute on Aging. (2021). MOST public data release: Annotated data collection forms: Baseline dataset. AgingResearch Biobank. https://agingresearchbiobank.nia.nih.gov/studies/most/documents/download/Forms/AnnotatedForms_Baseline.pdf/ Perry, T. A., Segal, N. A., Bowen, C., Gates, L., Arden, N., & Nevitt, M. C. (2021). Foot and ankle pain and risk of incident knee osteoarthritis and knee pain: Data from the Multicentre Osteoarthritis Study . Osteoarthritis and Cartilage Open, 3(4), 100210. https://doi.org/10.1016/j.ocarto.2021.100210 [PhenX: https://www.phenxtoolkit.org/protocols/view/171501]",phenx,en,0,no,,,,"A self-report, three-item series of questions with answer choices for “Yes,” “No,” and “Don’t know.”"
PX171701,Pain - Body Map,PX171701,Health,36,PhenX Toolkit freely available protocol,https://www.phenxtoolkit.org/protocols/view/171701,"Goesling, J., DeJonckheere, M., Pierce, J., Williams, D. A., Brummett, C. M., Hassett, A. L., & Clauw, D. J. (2019). Opioid cessation and chronic pain: Perspectives of former opioid users. Pain, 160(5), 1131–1145. Hassett, A. L., Pierce, J., Goesling, J., Fritsch, L., Bakshi, R. R., Kohns, D. J., & Brummett, C. M. (2019). Initial validation of the electronic form of the Michigan Body Map. Regional Anesthesia & Pain Medicine, 45, 145–150. https://doi.org/10.1136/rapm-2019-101084 Katz, N., Dworkin, R. H., North, R., Thomson, S., Eldabe, S., Hayek, S. M., … Venkatesan, L. (2021). Research design considerations for randomized controlled trials of spinal cord stimulation for pain: Initiative on Methods, Measurement, and Pain Assessment in Clinical Trials/Institute of Neuromodulation/International Neuromodulation Society recommendations. Pain, 162(7), 1935–1956. McAfee, J., Boehnke, K. F., Moser, S. M., Brummett, C. M., Waljee, J. F., & Bonar, E. E. (2021). Perioperative cannabis use: A longitudinal study of associated clinical characteristics and surgical outcomes. Regional Anesthesia & Pain Medicine, 46(2), 137–144. Pierce, J., Hassett, A. L., Brummett, C. M., McAfee, J., Sieberg, C., Schrepf, A., & Harte, S. E. (2021). Characterizing pain and generalized sensory sensitivity according to trauma history among patients with knee osteoarthritis. Annals of Behavioral Medicine, 55(9), 853–869. Sato, S., Ukimoto, S., Kanamoto, T., Sasaki, N., Hashimoto, T., Saito, H., … Nakata, K. (2021). Chronic musculoskeletal pain, catastrophizing, and physical function in adult women were improved after 3-month aerobic-resistance circuit training. Scientific Reports, 11(1), 14939. University of Michigan Medical School. (2016, June 14). Michigan Body Map (MBM). Pain Research. Retrieved from https://medicine.umich.edu/dept/pain-research/clinical-research/michigan-body-map-mbm [PhenX: https://www.phenxtoolkit.org/protocols/view/171701]",phenx,en,0,no,,,,Individuals are presented with an image of a body and asked to indicate at which of the marked thirty-five locations the
PX180501,Emotional State - Adult,PX180501,Mental Health,60,PhenX Toolkit freely available protocol,https://www.phenxtoolkit.org/protocols/view/180501,"Watson, D., & Naragon-Gainey, K. (2010). On the specificity of positive emotional dysfunction in psychopathology: Evidence from the mood and anxiety disorders and schizophrenia/schizotypy. Clinical Psychology Review, 30 , 839-848. [PhenX: https://www.phenxtoolkit.org/protocols/view/180501]",phenx,en,0,yes,,,,The Positive Affect and Negative Affect Schedule-Expanded Form (PANAS X) is a 60-item scale used to measure the responde
PX180701,Perceived Social Support Conflict,PX180701,Mental Health,30,PhenX Toolkit freely available protocol,https://www.phenxtoolkit.org/protocols/view/180701,"Schuster, T. L., Kessler, R. C., & Aseltine, R. H., Jr. (1990). Supportive interactions, negative interactions, and depressed mood. American Journal of Community Psychology, 18(3), 423-438. Whalen, H. R., & Lachman, M. E. (2000). Social support and strain from partner, family and friends: Costs and benefits for men and women in adulthood. Journal of Social and Personal Relationships, 17(1), 5-30. [PhenX: https://www.phenxtoolkit.org/protocols/view/180701]",phenx,en,0,no,,,,"The respondent completes three groups of questions about interactions with spouse/partner, family, and friends. Each gro"
PX190601,Emotional Distress,PX190601,Health,23,PhenX Toolkit freely available protocol,https://www.phenxtoolkit.org/protocols/view/190601,None [PhenX: https://www.phenxtoolkit.org/protocols/view/190601],phenx,en,0,no,,,,"This set of questions from the PROMIS© Version 1.0 item banks measure self-reported emotional anxiety, depression, and s"
PX191001,Personal History of Gastrointestinal Conditions,PX191001,Health,24,PhenX Toolkit freely available protocol,https://www.phenxtoolkit.org/protocols/view/191001,None [PhenX: https://www.phenxtoolkit.org/protocols/view/191001],phenx,en,0,no,,,,This self-administered questionnaire asks respondents about their personal history of several gastrointestinal condition
PX200401,Family History of Speech and Language Impairment,PX200401,Health,23,PhenX Toolkit freely available protocol,https://www.phenxtoolkit.org/protocols/view/200401,"Rice, M. L., Haney, K. R., & Wexler, K. (1998). Family histories of children with SLI who show extended optional infinitives. Journal of Speech, Language, and Hearing Research, 41, 419–432. [PhenX: https://www.phenxtoolkit.org/protocols/view/200401]",phenx,en,0,no,,,,The Family History Questionnaire is a 9-item proxy-administered questionnaire completed by a parent for their young chil
PX210201,Child-Reported Parental Education Attainment,PX210201,Mental Health,2,PhenX Toolkit freely available protocol,https://www.phenxtoolkit.org/protocols/view/210201,"Miech, R. A., & Hauser, R. M. (2001). Socioeconomic status (SES) and health at midlife: A comparison of educational attainment with occupation-based indicators. Annals of Epidemiology , 11, 75-84. Rowe, D. C., Jacobson, K. C., & Van den Oord, E. J. C. G. (1999). Genetic and environmental influences on vocabulary IQ: Parental education as moderator. Child Development, 70 , 1151-1162. [PhenX: https://www.phenxtoolkit.org/protocols/view/210201]",phenx,en,0,no,,,,This protocol includes two questions from the National Longitudinal Study on Adolescent Health (Add Health) that ask the
PX211001,School Social Environment,PX211001,Mental Health,39,PhenX Toolkit freely available protocol,https://www.phenxtoolkit.org/protocols/view/211001,"Hicks, B. M., South, S. C., DiRago, A. C., Iacono, W. G., & McGue, M. (2009). Environmental adversity and increasing genetic risk for externalizing disorders. Archives of General Psychiatry, 66 (6), 640-648. Jacobson, K. C., & Rowe, D. C. (1999). Genetic and environmental influences on the relationships between family connectedness, school connectedness, and adolescent depressed mood: Sex differences. Developmental Psychology, 35, 926-939. McNeely, C., & Falci, C. (2004). School connectedness and the transition into and out of health-risk behavior among adolescents: A comparison of social belonging and teacher support. Journal of School Health, 74, 284-292. [PhenX: https://www.phenxtoolkit.org/protocols/view/211001]",phenx,en,8,yes,,,,The protocol includes 39 self-administered questions developed by Zullig et al. (2010). The items are scored with a five
PX220701,Disease Progression and Regression - 0-24 Months,PX220701,Education,52,PhenX Toolkit freely available protocol,https://www.phenxtoolkit.org/protocols/view/220701,"Enns, G. M., Moore, T., Le, A., Atkuri, K., Shah, M. K., Cusmano-Ozog, K., Niemi, A. K., & Cowan, T. M. (2014). Degree of glutathione deficiency and redox imbalance depend on subtype of mitochondrial disease and clinical status. PLoS One, 9 (6), e100001. doi:10.1371/journal.pone.0100001 Phoenix, C., Schaefer, A. M., Elson, J. L., Morava, E., Bugiani, M., Uziel, G., Smeitink, J. A., Turnbull, D. M., & McFarland, R. (2006). A scale to monitor progression and treatment of mitochondrial disease in children. Neuromuscular disorders: NMD , 16 (12), 814-820. [PhenX: https://www.phenxtoolkit.org/protocols/view/220701]",phenx,en,0,no,,,,The Newcastle Paediatric Mitochondrial Disease Scale (NPMDS) and the Newcastle Mitochondrial Disease Adult Scale (NMDAS) [Excluded from manifest]
PX220702,Disease Progression and Regression - 2-11 Years,PX220702,Education,68,PhenX Toolkit freely available protocol,https://www.phenxtoolkit.org/protocols/view/220702,"Enns, G. M., Moore, T., Le, A., Atkuri, K., Shah, M. K., Cusmano-Ozog, K., Niemi, A. K., & Cowan, T. M. (2014). Degree of glutathione deficiency and redox imbalance depend on subtype of mitochondrial disease and clinical status. PLoS One , 9 (6), e100001. doi:10.1371/journal.pone.0100001 Phoenix, C., Schaefer, A. M., Elson, J. L., Morava, E., Bugiani, M., Uziel, G., Smeitink, J. A., Turnbull, D. M., & McFarland, R. (2006). A scale to monitor progression and treatment of mitochondrial disease in children. Neuromuscular disorders: NMD , 16 (12), 814-820. [PhenX: https://www.phenxtoolkit.org/protocols/view/220702]",phenx,en,0,no,,,,The Newcastle Paediatric Mitochondrial Disease Scale (NPMDS) and the Newcastle Mitochondrial Disease Adult Scale (NMDAS) [Excluded from manifest]
PX220703,Disease Progression and Regression - 12-18 Years,PX220703,Education,68,PhenX Toolkit freely available protocol,https://www.phenxtoolkit.org/protocols/view/220703,"Enns, G. M., Moore, T., Le, A., Atkuri, K., Shah, M. K., Cusmano-Ozog, K., Niemi, A. K., & Cowan, T. M. (2014). Degree of glutathione deficiency and redox imbalance depend on subtype of mitochondrial disease and clinical status. PLoS One , 9 (6), e100001. doi:10.1371/journal.pone.0100001 Phoenix, C., Schaefer, A. M., Elson, J. L., Morava, E., Bugiani, M., Uziel, G., Smeitink, J. A., Turnbull, D. M., & McFarland, R. (2006). A scale to monitor progression and treatment of mitochondrial disease in children. Neuromuscular disorders: NMD , 16 (12), 814-820. [PhenX: https://www.phenxtoolkit.org/protocols/view/220703]",phenx,en,0,no,,,,The Newcastle Paediatric Mitochondrial Disease Scale (NPMDS) and the Newcastle Mitochondrial Disease Adult Scale (NMDAS)
PX220704,Disease Progression and Regression - Adult,PX220704,Education,36,PhenX Toolkit freely available protocol,https://www.phenxtoolkit.org/protocols/view/220704,"Enns, G. M., Moore, T., Le, A., Atkuri, K., Shah, M. K., Cusmano-Ozog, K., Niemi, A. K., & Cowan, T. M. (2014). Degree of glutathione deficiency and redox imbalance depend on subtype of mitochondrial disease and clinical status. PLoS One, 9 (6), e100001. doi:10.1371/journal.pone.0100001 Schaefer, A. M., Phoenix, C., Elson, J. L., McFarland, R., Chinnery, P. F., & Turnbull, D. M. (2006). Mitochondrial disease in adults: A scale to monitor progression and treatment. Neurology, 66 (12), 1932-1934. [PhenX: https://www.phenxtoolkit.org/protocols/view/220704]",phenx,en,0,no,,,,The Newcastle Paediatric Mitochondrial Disease Scale (NPMDS) and the Newcastle Mitochondrial Disease Adult Scale (NMDAS)
PX221001,Family Health History,PX221001,Education,11,PhenX Toolkit freely available protocol,https://www.phenxtoolkit.org/protocols/view/221001,"Facio, F. M., Feero, W. G., Linn, A., Oden, N., Manickam, K., & Biesecker, L. G. (2010). Validation of My Family Health Portrait for six common heritable conditions. Genetics in Medicine, 12 (6), 370-375. Owens, K. M., Marvin, M. L., Gelehrter, T. D., Ruffin, M. T., 4th, & Uhlmann, W. R. (2011). Clinical use of the Surgeon General’s ""My Family Health Portrait"" (MFHP) tool: Opinions of future health care providers. Journal of Genetic Counseling, 20 (5), 510-525. [PhenX: https://www.phenxtoolkit.org/protocols/view/221001]",phenx,en,0,no,,,,My Family Health Portrait (MFHP) is a free Internet-based tool that allows individuals to record their family health his
PX221301,Quality of Life - Pediatric,PX221301,Education,25,PhenX Toolkit freely available protocol,https://www.phenxtoolkit.org/protocols/view/221301,"Bevans, M., Ross, A., & Cella, D. (2014). Patient-Reported Outcomes Measurement Information System (PROMIS): Efficient, standardized tools to measure self-reported health and quality of life. Nursing Outlook, 62, 339-345. DeWitt, E. M., Barnett, K., Farrell, J., Revicki, D., Carle, A., Cook, K., Sherry, D. D. (2014). A164: Development of pediatric item banks to measure pain behavior in the Patient-Reported Outcomes Measurement Information System. Arthritis & Rheumatology, 66 (Suppl. 11), S212-S2121. [PhenX: https://www.phenxtoolkit.org/protocols/view/221301]",phenx,en,0,no,,,,"PROMIS© Version 1.1 Pediatric Profile 25 consists of seven item banks. There is one bank for physical function mobility,"
PX221302,Quality of Life - Adult,PX221302,Education,29,PhenX Toolkit freely available protocol,https://www.phenxtoolkit.org/protocols/view/221302,"Beaumont, J. L., Cella, D., Phan, A. T., Choi, S., Liu, Z., & Yao, J. C. (2012). Comparison of health-related quality of life in patients with neuroendocrine tumors with quality of life in the general U.S. population. Pancreas, 41 (3), 461-466. Butt, Z., Peipert, J., Webster, K., Chen, C., & Cella, D. (2013). General population norms for the Functional Assessment of Cancer Therapy-Kidney Symptom Index (FKSI). Cancer, 119 (2), 429-437. Cella, D., Riley, W., Stone, A., Rothrock, N., Reeve, B., Yount, S., Amtmann, D., Bode, R., Buysse, D., Choi, S., Cook, K., DeVellis, R., DeWalt, D., Fries, J. F., Gershon, R., Hahn, E. A., Pilkonis, P., Revicki, D., Rose, M., Weinfurt, K., Hays, R., Lai, J-S, & on behalf of the PROMIS Cooperative Group. (2010). The Patient Reported Outcomes Measurement Information System (PROMIS) developed and tested its first wave of adult self-reported health outcome item banks: 2005-2008. Journal of Clinical Epidemiology, 63 (11), 1179-1194. Hinchcliff, M., Beaumont, J. L., Thavarahah, K., Varga, J., Chung, A., Podlusky, S., Carns, M., Chang, R. W., & Cella, D. (2011). Validity of two new patient-reported outcome measures in systemic sclerosis: Patient-reported outcomes measurement information system 29-item health profile and functional assessment of chronic illness therapy-dyspnea short form. Arthritis Care & Research, 63 (11), 1620-1628. Weaver, K. E., Forsythe, L. P., Reeve, B. B., Alfana, C. M., Rodrigues, J. L., Sabatino, S. A., Hawkins, N. A., & Rowland, J. H. (2012). Mental and physical health-related quality of life among U.S. cancer survivors: Population estimates from the 2010 National Health Interview Study. Cancer Epidemiology, Biomarkers & Prevention, 21 (11), 2108-2117. doi:10.1158/1055-9965.EPI-12-0740. Xia, T., Wilder, D. G., Gudavalli, M. R., DeVocht, J. W., Vining, R. D., Pohlman, K. A., Kawchuk, G. N., Long, C. R., & Goertz, C. M. (2014). Study protocol for patient response to spinal manipulation - a prospective observational clinical trial on physiological and patient-centered outcomes in patients with chronic low back pain. BMC Complementary and Alternative Medicine, 14 (1), 292. [PhenX: https://www.phenxtoolkit.org/protocols/view/221302]",phenx,en,0,no,,,,This protocol includes 29 self-administered quality of life-type questions from the PROMIS® Profile 29 for adults. The q
